Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Body,Thumbnail,Summary
Adding custom backgrounds using XYZ tiles,adding-custom-backgrounds-using-xyz-tiles,6238bdbba4832133b1cff452,626c93cea82a85357a5d1748,Sat Apr 30 2022 01:41:34 GMT+0000 (Coordinated Universal Time),Sat Apr 30 2022 01:41:34 GMT+0000 (Coordinated Universal Time),Sat Apr 30 2022 01:41:42 GMT+0000 (Coordinated Universal Time),<div></div>,https://uploads-ssl.webflow.com/61672c738436bb6bb116c6f2/626c93caf31a95bccdb7aed3_CleanShot%202022-04-29%20at%2021.41.10%402x.png,"Add your custom satellite, street map, or any other data you have just by using its XYZ tile template URL."
Drawing new features on the map,drawing-new-features-on-the-map,6238bdbba4832133b1cff452,6238be456441e3c0fda3998b,Mon Mar 21 2022 18:04:53 GMT+0000 (Coordinated Universal Time),Tue Mar 22 2022 16:54:42 GMT+0000 (Coordinated Universal Time),Tue Mar 22 2022 17:08:52 GMT+0000 (Coordinated Universal Time),<div></div>,https://uploads-ssl.webflow.com/61672c738436bb6bb116c6f2/6239ff3d33bc3521a06fdea3_drawing.png,"Drawing points, lines, polygons, and more."
Importing addresses with search and import,importing-addresses-with-search-and-import,6238bdbba4832133b1cff452,62a787859b7abae23de13ab2,Mon Jun 13 2022 18:52:53 GMT+0000 (Coordinated Universal Time),Mon Jun 13 2022 18:52:53 GMT+0000 (Coordinated Universal Time),Wed Jun 15 2022 13:43:12 GMT+0000 (Coordinated Universal Time),<div></div>,https://uploads-ssl.webflow.com/61672c738436bb6bb116c6f2/62a787826f6e68fa94d09aee_CleanShot%202022-06-13%20at%2014.52.30%402x.png,Use Placemark's built-in geocoder to import addresses from spreadsheets or quickly place locations on the map by searching for an address.
Importing data,importing-data,6238bdbba4832133b1cff452,6238ceb9053216f7063f7511,Mon Mar 21 2022 19:15:05 GMT+0000 (Coordinated Universal Time),Tue Mar 22 2022 16:52:42 GMT+0000 (Coordinated Universal Time),Tue Mar 22 2022 17:08:52 GMT+0000 (Coordinated Universal Time),<div></div>,https://uploads-ssl.webflow.com/61672c738436bb6bb116c6f2/6239fed1314d807e1703c59b_import-thumbnail.png,"Adding files, text, and API data onto the map."
Measuring and modifying geometries,measuring-and-modifying-geometries,6238bdbba4832133b1cff452,6238c8a871fb9cca38795028,Mon Mar 21 2022 18:49:12 GMT+0000 (Coordinated Universal Time),Tue Mar 22 2022 16:57:15 GMT+0000 (Coordinated Universal Time),Tue Mar 22 2022 17:08:52 GMT+0000 (Coordinated Universal Time),<div></div>,https://uploads-ssl.webflow.com/61672c738436bb6bb116c6f2/6239ffe12a905b3709027356_CleanShot%202022-03-22%20at%2012.57.00%402x.png,Do basic GIS right inside Placemark.
Selecting features on the map,selecting-features-on-the-map,6238bdbba4832133b1cff452,6238cabf90a232f49f70acdc,Mon Mar 21 2022 18:58:07 GMT+0000 (Coordinated Universal Time),Tue Mar 22 2022 16:58:54 GMT+0000 (Coordinated Universal Time),Tue Mar 22 2022 17:08:52 GMT+0000 (Coordinated Universal Time),<div></div>,https://uploads-ssl.webflow.com/61672c738436bb6bb116c6f2/623a0046bff573a61410b7cc_CleanShot%202022-03-22%20at%2012.58.37%402x.png,"Using the lasso tool, multi-selection, and more."
Using custom Mapbox baselayers,using-custom-mapbox-baselayers,6238bdbba4832133b1cff452,6238be2d6a1d6c52e5e47449,Mon Mar 21 2022 18:04:29 GMT+0000 (Coordinated Universal Time),Tue Mar 22 2022 16:54:13 GMT+0000 (Coordinated Universal Time),Tue Mar 22 2022 17:08:52 GMT+0000 (Coordinated Universal Time),<div></div>,https://uploads-ssl.webflow.com/61672c738436bb6bb116c6f2/6239ff161775b98277c6379e_custom-mapbox.png,Using styles and extra background data from Mapbox layers.
Using folders to organize features,using-folders-to-organize-features,6238bdbba4832133b1cff452,6238c6cacdbb563ad5becb5f,Mon Mar 21 2022 18:41:14 GMT+0000 (Coordinated Universal Time),Tue Mar 22 2022 16:56:43 GMT+0000 (Coordinated Universal Time),Tue Mar 22 2022 17:08:52 GMT+0000 (Coordinated Universal Time),<div></div>,https://uploads-ssl.webflow.com/61672c738436bb6bb116c6f2/6239ffb13d604b33685f8dbe_CleanShot%202022-03-22%20at%2012.56.06%402x.png,"Hide, lock, and export different parts of your map data with folders."
Using the Placemark API,using-the-placemark-api,6238bdbba4832133b1cff452,623babff03bead4f281d3e45,Wed Mar 23 2022 23:23:43 GMT+0000 (Coordinated Universal Time),Tue Jun 21 2022 15:05:13 GMT+0000 (Coordinated Universal Time),Tue Jun 21 2022 15:05:22 GMT+0000 (Coordinated Universal Time),"<div></div><p>‍</p><p>Check out more documentation for using the REST&nbsp;API in our <a href=""/documentation/placemark-rest-api"">Placemark REST&nbsp;API&nbsp;documentation</a>.</p>",https://uploads-ssl.webflow.com/61672c738436bb6bb116c6f2/623babfde8078509bdaee1e9_CleanShot%202022-03-23%20at%2019.23.36%402x.png,Pull data straight from Placemark into your website or app using the API.
Visualizing and styling data,visualizing-and-styling-data,6238bdbba4832133b1cff452,6238be5e91e15ca93f82b38f,Mon Mar 21 2022 18:05:18 GMT+0000 (Coordinated Universal Time),Tue Mar 22 2022 16:55:31 GMT+0000 (Coordinated Universal Time),Tue Mar 22 2022 17:08:52 GMT+0000 (Coordinated Universal Time),<div></div>,https://uploads-ssl.webflow.com/61672c738436bb6bb116c6f2/6239ff760d121a758dd01b97_visualization.png,Changing feature display settings for QA and analysis.
Working with properties,working-with-properties,6238bdbba4832133b1cff452,6238be0f7c0a59419620a942,Mon Mar 21 2022 18:03:59 GMT+0000 (Coordinated Universal Time),Tue Jun 21 2022 15:05:17 GMT+0000 (Coordinated Universal Time),Tue Jun 21 2022 15:05:22 GMT+0000 (Coordinated Universal Time),"<div></div><p>‍</p><p>Learn more about using feature properties in Placemark with the <a href=""/documentation/properties"">feature properties documentation reference</a>.</p>",https://uploads-ssl.webflow.com/61672c738436bb6bb116c6f2/6239feed50b50074a37d9cf1_properties.png,The complex metadata that can be attached to features.
